"","�..","Official.Name.of.Satellite","Country.Organization.of.UN.Registry","Operator.Owner","Country.of.Operator.Owner","Users","Purpose","Detailed.Purpose","Class.of.Orbit","Type.of.Orbit","Longitude.of.Geosynchronous.Orbit..Degrees.","Perigee..Kilometers.","Apogee..Kilometers.","Eccentricity","Inclination..Degrees.","Period..Minutes.","Launch.Mass..Kilograms.","Dry.Mass..Kilograms.","Power..Watts.","Date.of.Launch","Expected.Lifetime..Years.","Contractor","Country.of.Contractor","Launch.Site","Launch.Vehicle","COSPAR.Number","NORAD.Number","launch.lng","launch.lat"
"780",780,"LaoSat-1","NR","Laos National Authority for Science and Technology","Laos","Government","Communications","","GEO","",128.5,35788,35800,0.000142,0.1,"1436.1","3800","","",2015-11-20,"15","China Academy of Space Technology (CAST)","China","Xichang Satellite Launch Center","Long March 3B","2015-067A",41034,105,35
"781",781,"LAPAN A2","NR","Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN)","Indonesia","Government","Earth Observation","Earth Science","LEO","Equatorial",0,631,650,0.00136,6,"97.53","68","","32",2015-09-24,"","Indonesian National Institute of Aeronautics and Space","Indonesia","Satish Dhawan Space Center","PSLV C-30","2015-052B",40931,120,-5
"782",782,"LAPAN A3","NR","Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN)","Indonesia","Government","Earth Observation","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,501,517,0.00116,97.5,"94.8","115","","37",2016-06-22,"","Indonesian National Institute of Aeronautics and Space","Indonesia","Satish Dhawan Space Center","PSLV XL","2016-040E",41603,120,-5
"783",783,"LAPAN-Tubsat","NR","Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN)","Indonesia","Government","Earth Observation/Technology Development","Optical Imaging","LEO","Sun-Synchronous",0,617,637,0.00143,97.7,"97.2","60","","14",2007-01-10,"","Technical University of Berlin","Germany","Satish Dhawan Space Center","PSLV C7","2007-001A",29709,10.5,51.5
"784",784,"LatinSat A","NR","Aprize Satellites Argentina","Argentina","Commercial","Communications","","LEO","Non-Polar Inclined",0,610,668,0.00414,64.6,"97.5","","12","",2002-12-20,"","SpaceQuest","USA","Baikonur Cosmodrome","Dnepr LV","2002-058H",27612,63.30091,46.00573
"785",785,"LatinSat B","NR","Aprize Satellites Argentina","Argentina","Commercial","Communications","","LEO","Non-Polar Inclined",0,603,717,0.00811,64.6,"97.9","","12","",2002-12-20,"","SpaceQuest","USA","Baikonur Cosmodrome","Dnepr LV","2002-058B",27606,63.30091,46.00573
"786",786,"Lemur-1","USA","Spire Global Inc.","USA","Commercial","Technology Development","","LEO","Sun-Synchronous",0,612,697,0.00605,97.98,"97.82","4","","",2014-06-19,"","NanoSatisfi Inc.","USA","Dombarovsky Air Base","Dnepr","2014-033AL",40044,-57.65625,-14.60485
"787",787,"Lemur-2 Chris","NR","Spire Global Inc.","USA","Commercial","Earth Observation","Meteorology, Automatic Identification System (AIS)","LEO","Equatorial",0,635,649,0.000998,6,"97.57","10","","",2015-09-28,"","Spire Global","USA","Satish Dhawan Space Center","PSLV C-30","2015-052G",40936,-57.65625,-14.60485
"788",788,"Lemur-2 Joel","NR","Spire Global Inc.","USA","Commercial","Earth Observation","Meteorology, Automatic Identification System (AIS)","LEO","Equatorial",0,629,649,0.00143,6,"97.49","10","","",2015-09-28,"","Spire Global","USA","Satish Dhawan Space Center","PSLV C-30","2015-052D",40933,-57.65625,-14.60485
"789",789,"Lemur-2 Peter","NR","Spire Global Inc.","USA","Commercial","Earth Observation","Meteorology, Automatic Identification System (AIS)","LEO","Equatorial",0,634,650,0.00114,6.01,"97.56","10","","",2015-09-28,"","Spire Global","USA","Satish Dhawan Space Center","PSLV C-30","2015-052E",40934,-57.65625,-14.60485
"790",790,"Lemur-2Jeroen","NR","Spire Global Inc.","USA","Commercial","Earth Observation","Meteorology, Automatic Identification System (AIS)","LEO","Equatorial",0,635,649,0.000998,6.01,"97.57","10","","",2015-09-28,"","Spire Global","USA","Satish Dhawan Space Center","PSLV C-30","2015-052F",40935,-57.65625,-14.60485
"791",791,"LilacSat-2","NR","Harbin Institute/China Amateur Satellite - CAMSAT","China","Civil","Technology Development","","LEO","Sun-Synchronous",0,520,541,0.00152,97.47,"95.24","11","","",2015-09-19,"","Harbin Institute of Technology","China","Taiyuan Launch Center","Long March 6","2015-049K",40908,105,35
"792",792,"Ling Qiao","NR","Xinwei Telecom Technology Company","China","Commercial","Technology Development","","LEO","Sun-Synchronous",0,779,808,0.00202,98.47,"100.73","100","","",2014-09-04,"","Xinwei Telecom Technology Co/Tsinghua University","China","Jiuquan Satellite Launch Center","Long March 2D","2014-051A",40136,105,35
"793",793,"Lingqiao-A","NR","Changchun Institute of Optics","China","Commercial","Earth Observation","Optical Imaging (video)","LEO","Sun-Synchronous",0,639,664,0.00178,98.04,"97.75","95","","",2015-10-07,"","Chang Guang Satellite Technology Co. Ltd.","China","Jiuquan Satellite Launch Center","Long March 2D","2015-057B",40959,105,35
"794",794,"Lingqiao-B","NR","Changchun Institute of Optics","China","Commercial","Earth Observation","Optical Imaging (video)","LEO","Sun-Synchronous",0,639,663,0.00171,98.04,"97.74","95","","",2015-10-07,"","Chang Guang Satellite Technology Co. Ltd.","China","Jiuquan Satellite Launch Center","Long March 2D","2015-057C",40960,105,35
"795",795,"LMRSTSat","NR","NASA Jet Propulsion Laboratory","USA","Government","Technology Demonstration","","LEO","Non-Polar Inclined",0,493,800,0.0219,64.78,"97.65","3","","",2015-10-08,"","NASA Jet Propulsion Laboratory","USA","Cape Canaveral","Atlas 5","2015-058H",40971,-80.53311,28.45861
"796",796,"Long Excursion 1","NR","","China","","","","","",NA,NA,NA,NA,NA,"","","","",NA,"","","","","","",NA,17.32488,67.02257
"797",797,"LQSat","NR","Changchun Institute of Optics","China","Commercial","Earth Observation","Technology Development","LEO","Sun-Synchronous",0,640,663,0.00164,98.04,"97.77","55","","",2015-10-07,"","Chang Guang Satellite Technology Co. Ltd.","China","Jiuquan Satellite Launch Center","Long March 2D","2015-057A",40958,105,35
"798",798,"Luch 5A","Russia","Russian Federal Space Agency","Russia","Government","Communications","","GEO","",NA,35778,35793,0.000178,4.85,"1436.8","950","","",2011-12-11,""," ISS Reshetnev/Thales Alenia Space","Russia/France","Baikonur Cosmodrome","Proton M","2011-074B",37951,63.30091,46.00573
"799",799,"Luch 5B","Russia","Russian Federal Space Agency","Russia","Government","Communications","","GEO","",-16,35772,35801,0.000344,0.22,"1436.09","1282","950","",2012-11-02,"","OAO√•√äISS","Russia","Baikonur Cosmodrome","Proton M","2012-061A",38977,63.30091,46.00573
"800",800,"Luch 5V","Russia","Russian Federal Space Agency","Russia","Government","Communications","","GEO","",95,35767,35802,0.000415,4.76,"1435.99","1148","950","2200",2014-04-28,"10","OAO Re¬Å√Åetn‚Ç¨√ùva","Russia","Baikonur Cosmodrome","Proton M","2014-023A",39727,63.30091,46.00573
"801",801,"Luch/Olympus","Russia","Ministry of Defense","Russia","Military","Communications","","GEO","",95,35781,35793,0.000142,0.05,"1436.12","","","",2014-09-27,"15","ISS Reshetnev","Russia","Baikonur Cosmodrome","Proton M","2014-058A",40258,63.30091,46.00573
"802",802,"M-Cubed/E1P-U2","USA","University of Michigan/Montana University","USA","Civil","Technology Development","","LEO","Polar",0,442,724,0.0203,101.7,"97.45","2","","",2011-10-28,"","University of Michigan/Montana University/Montana Space Grant Consortium","USA","Vandenberg AFB","Delta 7920","2011-061F",37855,-120.53757,34.75046
"803",803,"M3MSat","NR","Defence Research and Development Canada (DRDC)/Canadian Space Agency","Canada","Government","Earth Observation","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,501,515,0.00102,97.5,"94.7","85","","",2016-06-22,"","Com Dev International (Honeywell Canada)","Canada","Satish Dhawan Space Center","PSLV XL","2016-040G",41605,-113.64258,60.10867
"804",804,"Maroc Tubsat","NR","CTRS Morocco/Institut f√å_r Luft-und Raumfahrttechnik (Berlin)","Morocco/Germany","Government","Technology Development","","LEO","Sun-Synchronous",0,984,1014,0.00204,99.2,"105.1","47","","56",2001-12-10,"3-Feb","CRTS Morocco/Institut f√å_r Luft-und Raumfahrttechnik","Morocco/Germany","Baikonur Cosmodrome","Zenit","2001-056D",27004,63.30091,46.00573
"805",805,"Measat 2","Malaysia","MEASAT Satellite Systems Sdn. Bhd.","Malaysia","Commercial","Communications","","GEO","",148,35782,35791,0.000107,1.09,"1436.12","1450","650","1,200 (BOL)",1996-11-14,"11.5","Boeing Satellite Systems","USA","Guiana Space Center","Ariane 44L","1996-063B",24653,-52.76898,5.21603
"806",806,"Measat 3","Malaysia","MEASAT Satellite Systems Sdn. Bhd.","Malaysia","Commercial","Communications","","GEO","",91.54,35778,35794,0.00019,0,"1436.1","4900","3220","10800",2006-12-11,"15","Boeing Satellite Systems","USA","Baikonur Cosmodrome","Proton M","2006-056A",29648,63.30091,46.00573
"807",807,"Measat 3A","Malaysia","MEASAT Satellite Systems Sdn. Bhd.","Malaysia","Commercial","Communications","","GEO","",91.5,35728,35788,0.000712,0.04,"1434.6","2417","","",2009-06-21,"15","Orbital Sciences Corp.","USA","Baikonur Cosmodrome","Zenit 3SLB","2009-032A",35362,63.30091,46.00573
"808",808,"Measat 3B","Malaysia","MEASAT Satellite Systems Sdn. Bhd.","Malaysia","Commercial","Communications","","GEO","",91.5,35772,35802,0.000356,0.05,"1436.11","5800","","16000",2014-09-11,"15","Airbus Defence and Space","Germany/France","Guiana Space Center","Ariane 5 ECA","2014-054B",40147,-52.76898,5.21603
"809",809,"Megha-Tropiques","India","Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES)","India/France","Government","Earth Observation","Earth Science","LEO","Non-Polar Inclined",0,853,868,0.00104,20,"102.2","1000","","",2011-10-12,"5","Indian Space Research Organization (ISRO)","India","Satish Dhawan Space Center","PSLV","2011-058A",37838,79,22
"810",810,"Meridian-3","Russia","Military Space Forces (VKS)","Russia","Military","Communications","","Elliptical","Molniya",0,2253,38105,0.675,62.85,"645.98","2500","","",2010-11-02,"","PO Polyot","Russia","Plesetsk Cosmodrome","Soyuz 2-1a","2010-058A",37212,100,60
"811",811,"Meridian-4","Russia","Military Space Forces (VKS)","Russia","Military","Communications","","Elliptical","Molniya",0,1722,38637,0.695,64.47,"717.88","2500","","",2011-05-04,"","PO Polyot","Russia","Plesetsk Cosmodrome","Soyuz 2-1a","2011-018A",37398,100,60
"812",812,"Meridian-6","Russia","Military Space Forces (VKS)","Russia","Military","Communications","","Elliptical","Molniya",0,1494,38860,0.704,63.77,"718.04","2500","","",2012-11-14,"7","ISS Reshetnev","Russia","Plesetsk Cosmodrome","Soyuz 2-1a","2012-063A",38995,100,60
"813",813,"Meridian-7","Russia","Military Space Forces (VKS)","Russia","Military","Communications","","Elliptical","Molniya",0,962,39398,0.724,62.82,"717.88","2500","","",2014-10-30,"7","ISS Reshetnev","Russia","Plesetsk Cosmodrome","Soyuz 2-1a","2014-069A",40296,100,60
"814",814,"Meteor-M N-2","Russia","Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET)","Russia","Government","Earth Observation","Meteorology","LEO","Sun-Synchronous",0,819,828,0.000626,98.81,"101.3","2778","","",2014-07-08,"5","VNIIEM","Russia","Baikonur Cosmodrome","Soyuz 2-1b","2014-037A",40069,63.30091,46.00573
"815",815,"Meteosat 10","EUMETSAT","EUMETSAT (European Organization for the Exploitation of Meteorological Satellites)","Multinational","Government/Civil","Earth Observation","Earth Science/Meterology","GEO","",0,35784,35791,8.3e-05,1.8,"1436.15","2000","","",2012-07-05,"7","Thales Alenia Space","France","Guiana Space Center","Ariane 5 ECA","2012-035B",38552,-52.76898,5.21603
"816",816,"Meteosat 11","EUMETSAT","EUMETSAT (European Organization for the Exploitation of Meteorological Satellites)","Multinational","Government/Civil","Earth Observation","Earth Science/Meterology","GEO","",0,35791,35795,4.74e-05,3.1,"1436.1","2000","1200","",2015-07-15,"12","Thales Alen","France/Italy","Guiana Space Center","Ariane 5 ECA","2015-034A",40732,-52.76898,5.21603
"817",817,"Meteosat 7","EUMETSAT","EUMETSAT (European Organization for the Exploitation of Meteorological Satellites)","Multinational","Government/Civil","Earth Observation","Earth Science/Meterology","GEO","",-57.85,35770,35797,0.00032,4.71,"1435.96","696","320","200",1997-09-02,"5","Alcatel","France","Guiana Space Center","Ariane 5","1997-049B",24932,-52.76898,5.21603
"818",818,"Meteosat 8","EUMETSAT/ESA","EUMETSAT (European Organization for the Exploitation of Meteorological Satellites)","Multinational","Government/Civil","Earth Observation","Earth Science/Meterology","GEO","",9.27,35781,35793,0.000142,0.46,"1436.1","2000","1000","700",2002-08-21,"12","Alcatel","France","Guiana Space Center","Ariane 5","2002-040B",27509,-52.76898,5.21603
"819",819,"Meteosat 9","EUMETSAT","EUMETSAT (European Organization for the Exploitation of Meteorological Satellites)","Multinational","Government/Civil","Earth Observation","Earth Science/Meterology","GEO","",-0.02,35775,35795,0.000237,0.29,"1436","2000","1000","700",2005-12-21,"12","Alcatel/Alenia Space","France/Italy","Guiana Space Center","Ariane 5G","2005-049B",28912,-52.76898,5.21603
"820",820,"MetOp-A","EUMETSAT","ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites)","Multinational","Government/Civil","Earth Observation","Earth Science/Meterology","LEO","Sun-Synchronous",0,820,821,6.95e-05,98.7,"101.3","4193","3750","",2006-10-19,"5","EADS-Astrium","France/UK/Germany/Spain","Baikonur Cosmodrome","Soyuz-Fregat (Soyuz 2)","2006-044A",29499,63.30091,46.00573
"821",821,"MetOp-B","EUMETSAT","ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites)","Multinational","Government/Civil","Earth Observation","Earth Science/Meterology","LEO","Sun-Synchronous",0,819,822,0.000209,98.7,"101.3","4085","","",2012-09-17,"5","EADS-Astrium","France/UK/Germany/Spain","Baikonur Cosmodrome","Soyuz 2-1a","2012-049A",38771,63.30091,46.00573
"822",822,"Mexsat-2","NR","Mexico Telecomm","Mexico","Government","Communications","","GEO","",-116.8,35767,35805,0.000451,7.12,"1436","5325","","",2015-10-02,"15","Boeing Satellite Systems","USA","Cape Canaveral","Atlas 5","2015-056A",40946,-80.53311,28.45861
"823",823,"Mexsat-3","Mexico","Mexico Telecomm","Mexico","Government/Military","Communications","","GEO","",-114.9,35784,35791,8.3e-05,0.07,"1436.16","2900","","3500",2012-12-19,"15","Orbital Sciences Corp.","USA","Guiana Space Center","Atlas 5 ECA","2012-075B",39035,-52.76898,5.21603
"824",824,"MICROSCOPE","NR","Centre National d'Etudes Spatiales (CNES)","ESA","Government","Space Science","","LEO","",0,711,715,0.000282,98.23,"99","300","","",2016-04-25,"1 yr.","CNES","France","Guiana Space Center","Soyuz 2.1a","2016-025B",41457,-52.76898,5.21603
"825",825,"Microvariability & Oscillations of Stars (MOST)","Canada","Canadian Space Agency","Canada","Government","Space Science","","LEO","Sun-Synchronous",0,817,832,0.00104,98.7,"101.4","53","53","35",2003-06-30,"1 yr.","Dynacon Inc./University of Toronto Institute for Aerospace Studies/University of British Columbia","Canada","Plesetsk Cosmodrome","Rokot","2003-031D",27843,-113.64258,60.10867
"826",826,"MKA-FKI-1","Russia","Lavochkin Research and Production Association (Lavochkin NPO)","Russia","Government","Earth Observation","Earth Science","LEO","Sun-Synchronous",0,805,821,0.00111,98.9,"101.2","110","","220",2012-07-22,"3","Lavochkin NPO","Russia","Baikonur Cosmodrome","Soyuz-Fregat","2012-039E",38711,63.30091,46.00573
"827",827,"MMS-1","NR","National Aeronautics and Space Administration (NASA)","USA","Government","Space Science","","Elliptical","",0,1375,70009,0.816,28.9,"1433","1360","","",2015-03-13,"3","NASA/Goddard Space Flight Center","USA","Cape Canaveral","Atlas 5","2015-011A",40482,-80.53311,28.45861
"828",828,"MMS-2","NR","National Aeronautics and Space Administration (NASA)","USA","Government","Space Science","","Elliptical","",0,1357,70117,0.816,29,"1433","1360","","",2015-03-13,"3","NASA/Goddard Space Flight Center","USA","Cape Canaveral","Atlas 5","2015-011B",40483,-80.53311,28.45861
"829",829,"MMS-3","NR","National Aeronautics and Space Administration (NASA)","USA","Government","Space Science","","Elliptical","",0,1429,70045,0.815,29,"1433","1360","","",2015-03-13,"3","NASA/Goddard Space Flight Center","USA","Cape Canaveral","Atlas 5","2015-011C",40484,-80.53311,28.45861
"830",830,"MMS-4","NR","National Aeronautics and Space Administration (NASA)","USA","Government","Space Science","","Elliptical","",0,1317,70157,0.817,29,"1433","1360","","",2015-03-13,"3","NASA/Goddard Space Flight Center","USA","Cape Canaveral","Atlas 5","2015-011D",40485,-80.53311,28.45861
"831",831,"Mozhayets 4","Russia","Mozhaisky Space Engineering Academy","Russia","Civil","Technology Development","","LEO","Sun-Synchronous",0,669,690,0.00149,97.8,"98.3","64","","",2003-09-27,"","Mozhaiskiy Space Engineering Academy","Russia","Plesetsk Cosmodrome","Kosmos 3M","2003-042A",27939,100,60
"832",832,"MSAT 1","Canada","Mobile Satellite Ventures","USA/Canada","Commercial","Communications","","GEO","",-106.43,35763,35809,0.000546,1.37,"1436.09","2850","1330","3300",1996-04-20,"12","Spar Aerospace","Canada","Guiana Space Center","Ariane 42P","1996-022A",23846,-52.76898,5.21603
"833",833,"MSAT 2","USA","Mobile Satellite Ventures","USA/Canada","Commercial","Communications","","GEO","",-101.21,35776,35796,0.000237,4.02,"1436.09","2850","1330","3300",1995-04-07,"10","Hughes Communications Inc.","USA","Cape Canaveral","Atlas 2A","1995-019A",23553,-80.53311,28.45861
"834",834,"MTSAT-2","Japan","Japan Meteorological Agency/Meteorological Satellite Center (MSC)","Japan","Government","Earth Observation","Meteorology","GEO","",145.06,35776,35797,0.000249,0.01,"1436.1","2900","1250","2700",2006-02-18,"5","Mitsubishi Electric/Boeing/Alcatel","Japan","Tanegashima Space Center","H2A","2006-004A",28937,130.97353,30.40318
"835",835,"Multispectral Thermal Imager (MTI)","USA","US Department of Energy/Office of Nonproliferation and National Security","USA","Government/Military","Technology Development","","LEO","Sun-Synchronous",0,461,478,0.00124,97.47,"94.9","587","","575",2000-03-12,"3","Ball Aerospace/TRW/Raytheon","USA","Vandenberg AFB","Taurus","2000-014A",26102,-120.53757,34.75046
"836",836,"MUOS-1","USA","DoD/US Navy","USA","Military","Communications","","GEO","",-176.96,35569,36006,0.00518,3.73,"1436.1","6804","","",2012-02-24,"12-Oct","Lockheed Martin Missiles and Space","USA","Cape Canaveral","Atlas 5","2012-009A",38093,-80.53311,28.45861
"837",837,"MUOS-2","USA","DoD/US Navy","USA","Military","Communications","","GEO","",-100.1,35550,36023,0.00561,4.11,"1436.1","6804","","",2013-07-19,"12-Oct","Lockheed Martin Missiles and Space","USA","Cape Canaveral","Atlas 5","2013-036A",39206,-80.53311,28.45861
